HUD frame time nsec:,17186000

Range Index,Elapsed Time, First Event,Last Event
0,29638880,48,48
1,640,49,49
2,12480,54,54
3,12160,102,102
4,672,105,105
5,5568,112,112
6,640,115,115
7,29984,118,118
8,1263520,135,135
