HUD frame time nsec:,16670000

Range Index,Elapsed Time, First Event,Last Event
0,29694048,48,48
1,704,49,49
2,12800,54,54
3,11264,102,102
4,960,105,105
5,5216,112,112
6,704,115,115
7,37504,118,118
8,1695456,135,135
