HUD frame time nsec:,16925000

Range Index,Elapsed Time, First Event,Last Event
0,24439968,48,48
1,672,49,49
2,12384,54,54
3,11200,102,102
4,672,105,105
5,5536,112,112
6,640,115,115
7,35872,118,118
8,388192,135,135
