HUD frame time nsec:,17458000

Range Index,Elapsed Time, First Event,Last Event
0,24637824,48,48
1,640,49,49
2,12384,54,54
3,11168,102,102
4,672,105,105
5,5536,112,112
6,640,115,115
7,30016,118,118
8,329920,135,135
