HUD frame time nsec:,17731000

Range Index,Elapsed Time, First Event,Last Event
0,28248192,48,48
1,640,49,49
2,12448,54,54
3,11200,102,102
4,704,105,105
5,5600,112,112
6,640,115,115
7,37216,118,118
8,1213664,135,135
