HUD frame time nsec:,17464000

Range Index,Elapsed Time, First Event,Last Event
0,24419552,48,48
1,640,49,49
2,12448,54,54
3,10656,102,102
4,672,105,105
5,5600,112,112
6,640,115,115
7,35712,118,118
8,512544,135,135
