HUD frame time nsec:,16699000

Range Index,Elapsed Time, First Event,Last Event
0,19436832,45,45
1,672,46,46
2,12192,51,51
3,11328,99,99
4,672,102,102
5,5344,109,109
6,672,112,112
7,3520,115,115
8,691072,132,132
