HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,17704608,48,48
1,640,49,49
2,6464,54,54
3,11136,102,102
4,672,105,105
5,41824,108,108
6,3616,115,115
7,672,118,118
8,350048,135,135
