HUD frame time nsec:,36754000

Range Index,Elapsed Time, First Event,Last Event
0,55128288,48,48
1,672,49,49
2,12384,54,54
3,11328,102,102
4,864,105,105
5,5568,112,112
6,640,115,115
7,34784,118,118
8,394016,135,135
