HUD frame time nsec:,16827000

Range Index,Elapsed Time, First Event,Last Event
0,24536448,48,48
1,640,49,49
2,12768,54,54
3,11136,102,102
4,672,105,105
5,5536,112,112
6,672,115,115
7,37312,118,118
8,672,125,125
9,800,128,128
10,672,131,131
11,393728,148,148
