HUD frame time nsec:,16933000

Range Index,Elapsed Time, First Event,Last Event
0,29087200,48,48
1,640,49,49
2,12416,54,54
3,11072,102,102
4,1120,105,105
5,5440,112,112
6,672,115,115
7,30624,118,118
8,940384,135,135
