HUD frame time nsec:,21697000

Range Index,Elapsed Time, First Event,Last Event
0,18020512,48,48
1,704,49,49
2,12416,54,54
3,10944,102,102
4,640,105,105
5,5536,112,112
6,672,115,115
7,35936,118,118
8,672,125,125
9,672,128,128
10,640,131,131
11,346720,148,148
