HUD frame time nsec:,16670000

Range Index,Elapsed Time, First Event,Last Event
0,7295456,48,48
1,672,49,49
2,12480,54,54
3,10848,102,102
4,736,105,105
5,5472,112,112
6,672,115,115
7,34656,118,118
8,672,125,125
9,672,128,128
10,672,131,131
11,6900576,148,148
